variable,mean,median,sd,variance,min,max,q1,q3,n
PUNTAJE_GLOBAL,179.36829040003255,181,20.78611043316171,432.0623869395941,87,269,167,193,24573
PUNT_COMP_CIUD,177.7365808000651,183,31.819743690616015,1012.4960885364977,60,300,163,198,24573
PUNT_COMU_ESCR,160.5423839173076,160,36.95456065820447,1365.6395534409135,47,300,136,178,24573
PUNT_INGLES,187.51141496764743,190,30.63776223373321,938.6724746907689,73,300,169,205,24573
PUNT_LECT_CRIT,182.67468359581656,186,26.906028567914863,723.9343732974506,63,300,168,201,24573
PUNT_RAZO_CUANT,188.3697147275465,190,29.403425953891677,864.5614578259906,69,300,172,206,24573
